;City;Price [PLN];Price/sqr_meter [PLN];Area [m^2];Rooms;Level
6746;Cracow;645000.0;9969.0;64.7;3.0;0.0
6775;Cracow;481948.32;10416.0;46.27;3.0;5.0
6774;Cracow;400599.0;11100.0;36.09;2.0;1.0
6773;Cracow;980000.0;12500.0;78.4;3.0;5.0
6772;Cracow;694000.0;13950.0;49.75;3.0;3.0
6771;Cracow;439000.0;11228.0;39.1;2.0;2.0
6770;Cracow;381365.0;8900.0;42.85;2.0;0.0
6769;Cracow;789300.0;11749.0;67.18;4.0;6.0
6768;Cracow;977670.0;9000.0;108.63;3.0;4.0
6767;Cracow;489000.0;11783.0;41.5;2.0;1.0
6766;Cracow;500000.0;10275.0;48.66;2.0;1.0
6776;Cracow;260000.0;14444.0;18.0;1.0;0.0
6765;Cracow;799000.0;12484.0;64.0;3.0;6.0
6763;Cracow;449000.0;9163.0;49.0;2.0;2.0
6762;Cracow;570000.0;11176.0;51.0;2.0;6.0
6761;Cracow;2073042.0;15900.0;130.38;4.0;1.0
6760;Cracow;1358280.0;14003.0;97.0;4.0;4.0
6759;Cracow;390000.0;10541.0;37.0;1.0;0.0
6758;Cracow;428000.0;10568.0;40.5;2.0;5.0
6757;Cracow;745000.0;14327.0;52.0;2.0;0.0
6756;Cracow;1050500.0;12500.0;84.04;4.0;1.0
6755;Cracow;499000.0;11881.0;42.0;2.0;7.0
6754;Cracow;517000.0;16156.0;32.0;1.0;1.0
6764;Cracow;1168860.0;16500.0;70.84;3.0;0.0
6777;Cracow;670292.0;6733.0;99.55;5.0;0.0
6778;Cracow;556850.0;7400.0;75.25;4.0;0.0
6779;Cracow;599000.0;9693.0;61.8;3.0;1.0
6802;Cracow;450000.0;15517.0;29.0;2.0;1.0
6801;Cracow;595000.0;11900.0;50.0;3.0;0.0
6800;Cracow;578000.0;9966.0;58.0;3.0;6.0
6799;Cracow;615000.0;10250.0;60.0;3.0;2.0
6798;Cracow;1530000.0;16558.0;92.4;5.0;3.0
6797;Cracow;499000.0;9802.0;50.91;2.0;8.0
6796;Cracow;309000.0;8508.0;36.32;2.0;4.0
6795;Cracow;389000.0;10539.0;36.91;2.0;4.0
6794;Cracow;650000.0;16250.0;40.0;2.0;1.0
6793;Cracow;279000.0;12959.0;21.53;1.0;0.0
6792;Cracow;279000.0;13317.0;20.95;1.0;1.0
6791;Cracow;635000.0;10911.0;58.2;3.0;1.0
6790;Cracow;649000.0;11562.0;56.13;3.0;1.0
6789;Cracow;499000.0;9932.0;50.24;2.0;4.0
6788;Cracow;765000.0;11931.0;64.12;2.0;2.0
6787;Cracow;437286.0;9300.0;47.02;2.0;4.0
6786;Cracow;709000.0;10307.0;68.79;4.0;2.0
6785;Cracow;828000.0;12000.0;69.0;3.0;1.0
6784;Cracow;510000.0;9980.0;51.1;3.0;3.0
6783;Cracow;429555.84;10416.0;41.24;2.0;5.0
6782;Cracow;438000.0;12000.0;36.5;2.0;10.0
6781;Cracow;849000.0;13062.0;65.0;3.0;5.0
6780;Cracow;840000.0;13548.0;62.0;1.0;3.0
6753;Cracow;677000.0;14978.0;45.2;3.0;6.0
6752;Cracow;749000.0;10700.0;70.0;3.0;3.0
6751;Cracow;1135000.0;14934.0;76.0;4.0;0.0
6750;Cracow;699000.0;18892.0;37.0;2.0;4.0
2189;Cracow;395000.0;8777.78;45.0;2.0;4.0
2188;Cracow;500000.0;14285.71;35.0;1.0;3.0
2184;Cracow;350000.0;12500.0;28.0;1.0;3.0
2182;Cracow;322000.0;10488.6;30.7;1.0;1.0
2181;Cracow;385000.0;11366.99;33.87;2.0;1.0
2177;Cracow;550000.0;8870.97;62.0;3.0;1.0
2176;Cracow;1095000.0;12586.21;87.0;4.0;2.0
2173;Cracow;1050000.0;15000.0;70.0;3.0;3.0
2170;Cracow;279000.0;12958.66;21.53;1.0;0.0
2169;Cracow;590000.0;11132.08;53.0;3.0;1.0
2165;Cracow;569000.0;11854.17;48.0;3.0;4.0
2164;Cracow;693000.0;11000.0;63.0;3.0;2.0
2163;Cracow;635000.0;10948.28;58.0;3.0;4.0
